0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2
80,0.14,0.12,0.17,0.16,0.15,0.13,0.13,0.14,0.13,0.15,0.15,0.14,0.16,0.14,0.14
81,0.14,0.12,0.17,0.16,0.15,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.14
82,0.14,0.13,0.17,0.16,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.14
83,0.14,0.13,0.17,0.16,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.14
84,0.13,0.14,0.17,0.16,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.14
85,0.13,0.14,0.16,0.16,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.16,0.14,0.14
86,0.13,0.14,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.14
87,0.14,0.13,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.14
88,0.14,0.13,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.14
90,0.14,0.13,0.16,0.16,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.16,0.14,0.14
91,0.14,0.13,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.16,0.14,0.14
93,0.14,0.13,0.16,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.16,0.14,0.14
94,0.14,0.13,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.16,0.14,0.14
95,0.14,0.13,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.14,0.14,0.15,0.14,0.14
96,0.14,0.12,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.13,0.14,0.15,0.14,0.14
