0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
42,0.1,0.11,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.1,0.12,0.08,0.12,0.11
43,0.1,0.12,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.11
44,0.1,0.12,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.11
45,0.1,0.12,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.11
46,0.1,0.12,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
47,0.1,0.12,0.09,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.11,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
48,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.3,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
49,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.29,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
50,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.29,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
51,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.29,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
52,0.1,0.12,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.29,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
53,0.1,0.12,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.29,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
54,0.1,0.12,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.12,0.1,0.11,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
55,0.1,0.12,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.12,0.1,0.12,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
56,0.1,0.12,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.12,0.1,0.12,0.15,0.12,0.11,0.11,0.11,0.08,0.12,0.12
57,0.1,0.11,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.12,0.1,0.12,0.15,0.12,0.11,0.11,0.11,0.08,0.13,0.12
58,0.1,0.11,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.12,0.1,0.12,0.15,0.12,0.11,0.11,0.11,0.08,0.13,0.12
